題號,題目,選項1,選項2,選項3,選項4,答案,答案精簡說明
n2001, 人工智慧（AI）依照功能的不同，可分為哪三種類型？,弱AI、強AI、通用AI,分析型AI、預測型AI、生成型AI,判別式AI、生成式AI、協作式AI,符號式AI、機器學習AI、深度學習AI,2, 分析型AI、預測型AI、生成型AI
n2002, 生成式AI自 2022 年快速發展以來，能高效生成多種素材形式，此技術大幅改變了許多行業的工作型態，其主要依賴使用者輸入何種元素？,演算法程式碼,數據資料庫,提示詞（prompt）,神經網路架構,3, 提示詞（prompt）
n2003, 在醫療保健領域，AI 如何輔助醫師進行疾病診斷？,透過AI分析醫學影像，提早發現病變,運用AI演算法進行高頻交易,分析交通數據以預測路徑,生成自適應遊戲角色,1, 透過AI分析醫學影像，提早發現病變
n2004, AI在金融領域的主要應用不包括下列哪一項？,風險評估,欺詐檢測,自動交易,自動化教材生成,4, 自動化教材生成
n2005, 在製造業中，AI 如何提升品質控制？,機器人自動執行重複性生產任務,運用影像辨識技術檢測產品缺陷,AI分析設備運行數據，提前預測機器故障,根據市場需求，生成專屬行銷內容,2, 運用影像辨識技術檢測產品缺陷
n2006, 目前人工智慧的發展，主要歸因於哪些因素的匯聚？,硬體進步、大數據、演算法精進,僅演算法與軟體技術進步,只有開放資料的普及,僅計算能力的提升與數據規模增長,1, 硬體進步、大數據、演算法精進
n2007, 鑑別式AI與生成式AI在模型目標上最主要的差異為何？,鑑別式AI旨在生成新數據，生成式AI旨在分類數據,鑑別式AI專注於區分不同類別的數據，生成式AI側重於生成新數據,鑑別式AI處理圖像，生成式AI處理文本,兩者目標完全相同，僅技術實現方式不同,2, 鑑別式AI專注於區分不同類別的數據，生成式AI側重於生成新數據
n2008, 生成式AI的輸出特性為何？,通常是分類標籤或數值預測,僅限於真實世界存在的數據樣本,是新的數據樣本，具備創新性與變異性,主要目的是做出準確的決策或分類,3, 是新的數據樣本，具備創新性與變異性
n2009, 鑑別式AI主要應用於哪些領域？,文本創作、音樂生成、影像創作,分類、辨識與預測,自動駕駛虛擬場景生成,智慧語音互動系統的文本回應生成,2, 分類、辨識與預測
n2010, 整合生成式AI和鑑別式AI，在醫療圖像診斷中如何提升分類準確性？,鑑別式AI生成高品質的病變模擬影像,生成式AI利用GAN模型生成病理影像，訓練鑑別式AI模型,兩者獨立運作，互不影響,僅透過手動標記數據來提升準確性,2, 生成式AI利用GAN模型生成病理影像，訓練鑑別式AI模型
n2011, 在智慧語音互動系統中，生成式AI和鑑別式AI如何協同工作？,生成式AI負責語音辨識，鑑別式AI生成文本回應,生成式AI生成自然流暢的文本回應，鑑別式AI進行語音辨識與語意分析,兩者都只負責語音輸入處理,鑑別式AI負責文本回應，生成式AI處理語音輸出,2, 生成式AI生成自然流暢的文本回應，鑑別式AI進行語音辨識與語意分析
n2012, 提升模型泛化能力的方法之一，是生成式AI透過生成多樣化的數據樣本來擴展鑑別式AI的學習邊界。此能力在教育領域的應用實例是？,生成式AI模擬不同學生的學習場景與行為數據，供鑑別式AI分析學生特徵，設計個人化學習方案,鑑別式AI自動生成教學材料,生成式AI自動批改作業,鑑別式AI模擬交通事故場景,1, 生成式AI模擬不同學生的學習場景與行為數據，供鑑別式AI分析學生特徵，設計個人化學習方案
n2013, 在AI導入實施/營運階段，為持續發揮導入AI的價值，正確的步驟排序應為何？,上線部署 → 模型監控與優化 → AI價值擴散,模型監控與優化 → 上線部署 → AI價值擴散,AI價值擴散 → 上線部署 → 模型監控與優化,上線部署 → AI價值擴散 → 模型監控與優化,1, 上線部署 → 模型監控與優化 → AI價值擴散
n2014, 在管理生成式AI系統的隱私風險時，下列哪一種技術最能確保數據使用的安全性？,僅依賴密碼驗證,增加模型的複雜度,差分隱私技術（Differential Privacy）,減少數據收集量,3, 差分隱私技術（Differential Privacy）
